#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR30543090	SRR30543092	SRR30543093	SRR30543094	SRR30543095	SRR30543096	SRR30543097	SRR30543098	SRR30543099	SRR30543100	SRR30543101	SRR30543103	SRR30543104	SRR30543105	SRR30543106	SRR30543107	SRR30543108	SRR30543109	SRR30543110	SRR30543111	SRR30543112	SRR30543114	SRR30543115	SRR30543116	SRR30543117	SRR30543118
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	7.648812	17.114136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.653944	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	6.578786	0.0	0.0	0.003732	0.0	0.0	0.0	0.0	0.838434	0.534993	0.0	2.950627	5.611574	1.221816	0.5288706	0.0	0.0	0.0	0.0	0.0	1.138807	0.0	0.0	0.0	1.043779	1.731883
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	3.863391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012204	2.389878	0.014316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.463989
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Lawsonellaceae	3.215794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.495464	0.001413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024799
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	3.175571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.491275	0.0	0.0	0.0	1.790266	0.015227	0.2533805	0.0	8.0612189	0.618463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Corynebacteriaceae	2.24725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.131387	0.0	0.47041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.409837
k__Bacteria|p__Mycoplasmatota|c__Mycoplasmatota_unclassified|o__Mycoplasmoidales|f__Mycoplasmoidaceae	1.042417	0.033666	0.0	0.0	0.0	0.088321	0.0	0.0	0.0	0.0	0.0	0.0	0.185238	0.0	0.0	0.0	0.1598021	0.0	0.0	0.001227	0.0	0.0	0.0	0.0	0.001188	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Peptostreptococcales|f__Peptostreptococcaceae	0.362842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.502441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	0.300382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139558	0.0	0.0	0.0	0.069162	0.609199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.376929	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales|f__Actinomycetaceae	0.29182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024953
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.130904	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.071609	0.007864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.175169
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellia_unclassified|f__Tissierellia_unclassified	0.041707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	0.013152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales|f__Propionibacteriaceae	0.006459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.569894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae	0.003078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	16.890799	20.999672	0.0	0.0	0.0	67.314664	0.0	0.0	0.0	0.0	0.0	0.08303	0.0	0.019937	5.7416925	0.0	0.0	0.0	0.0	0.0	0.486022	0.0	0.0	0.0	61.172462	41.005226
k__Bacteria|p__Actinomycetota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Fannyhessea	7.648812	17.114136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.707766	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Hoylesella	3.889714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.328987	0.582838	0.0	0.0	0.0	0.0	0.0	0.0	0.882356	0.0	0.0	0.0	0.0	0.607631
